Latitude,Longitude,Station,Depth,Temperature,Salinity,Nitrate,Iron,Pressure,Ratio,Density
17.3514,337.21661,Station 11,2.0,,,,,2.0,,
17.3514,337.21661,Station 11,5.0,27.1,36.23,,,5.0,,23.598446638965243
17.3514,337.21661,Station 11,17.8,27.11,36.23,0.0,,17.9,,23.59525455904179
17.3514,337.21661,Station 11,29.0,,,,,29.2,,
17.3514,337.21661,Station 11,29.7,27.08,36.200001,0.005,0.586341,29.9,8.527460982602275,23.582722232877245
17.3514,337.21661,Station 11,31.5,27.11,36.200001,0.0,,31.7,,23.573065264478487
17.3514,337.21661,Station 11,32.1,27.08,36.27,0.0,,32.3,,23.634546964681135
17.3514,337.21661,Station 11,47.5,22.44,36.849998,0.12,,47.8,,25.481847070708
17.3514,337.21661,Station 11,61.8,20.91,36.720001,1.795,0.222439,62.2,8069.628077810096,25.81448510462542
17.3514,337.21661,Station 11,63.0,,,,,63.4,,
17.3514,337.21661,Station 11,65.0,21.45,36.740002,0.68,,65.4,,25.679949563241053
17.3514,337.21661,Station 11,65.6,20.25,36.630001,5.89,,66.0,,25.92622737637157
17.3514,337.21661,Station 11,85.0,,,,,85.5,,
17.3514,337.21661,Station 11,85.4,18.34,36.400002,13.535,0.516585,85.9,26200.91562859936,26.250787983499777
17.3514,337.21661,Station 11,86.7,18.8,36.439999,12.8,,87.2,,26.164004809066
17.3514,337.21661,Station 11,86.9,18.2,36.380001,14.13,,87.4,,26.270901311543412
17.3514,337.21661,Station 11,111.7,17.07,36.27,15.67,,112.4,,26.465778824329846
17.3514,337.21661,Station 11,135.0,,,,,135.9,,
17.3514,337.21661,Station 11,135.8,16.08,36.110001,17.7849995,0.846341,136.7,21013.987860684996,26.578300017731408
17.3514,337.21661,Station 11,136.0,16.13,36.119999,17.65,,136.9,,26.574315029455875
17.3514,337.21661,Station 11,136.6,16.26,36.130001,17.49,,137.5,,26.55164505716698
17.3514,337.21661,Station 11,150.8,15.87,36.07,18.309999,,151.8,,26.596383587276478
17.3514,337.21661,Station 11,179.7,15.04,35.950001,19.5249995,1.069268,180.9,18260.155078053394,26.692479128197192
17.3514,337.21661,Station 11,180.0,,,,,181.2,,
17.3514,337.21661,Station 11,180.3,14.88,35.93,19.719999,,181.5,,26.712606598171988
17.3514,337.21661,Station 11,181.0,15.14,35.970001,19.23,,182.2,,26.68551533712798
17.3514,337.21661,Station 11,199.6,14.7,35.900002,20.075,0.990732,200.9,20262.795589523706,26.72926687037284
17.3514,337.21661,Station 11,200.3,14.62,35.880001,20.209999,,201.6,,26.73143282823753
17.3514,337.21661,Station 11,249.5,13.44,35.700001,23.15,,251.1,,26.844147058620365
17.3514,337.21661,Station 11,249.7,13.65,35.73,22.440001,,251.3,,26.82357922317715
17.3514,337.21661,Station 11,250.0,,,,,251.7,,
17.3514,337.21661,Station 11,250.3,13.64,35.73,22.674999,1.116585,252.0,20307.454425771437,26.825668764329976
17.3514,337.21661,Station 11,298.6,12.68,35.580002,25.379999,,300.6,,26.906165357994496
17.3514,337.21661,Station 11,300.7,12.61,35.580002,25.490000000000002,1.066951,302.7,23890.5066868113,26.920091811568227
17.3514,337.21661,Station 11,347.7,11.98,35.5,26.549999,,350.1,,26.98159265204299
17.3514,337.21661,Station 11,351.3,11.85,35.48,26.845000499999998,1.135122,353.7,23649.440764957424,26.991051590386178
17.3514,337.21661,Station 11,446.9,10.59,35.310001,29.549999,,450.1,,27.092180997149853
17.3514,337.21661,Station 11,447.5,10.5,35.310001,29.379999,,450.7,,27.10815794764312
17.3514,337.21661,Station 11,449.9,10.4,35.290001,29.845000499999998,1.053171,453.1,28338.228549779662,27.110289796888082
17.3514,337.21661,Station 11,450.0,,,,,453.2,,
17.3525,341.74689,Station 9,2.0,,,,,2.0,,
17.3525,341.74689,Station 9,5.0,27.97,35.810001,,,5.0,,23.005270041186805
17.3525,341.74689,Station 9,13.3,27.98,35.799999,0.02,,13.4,,22.994630807768203
17.3525,341.74689,Station 9,22.4,27.88,35.77,0.0,,22.5,,23.00523633517173
17.3525,341.74689,Station 9,26.0,,,,,26.2,,
17.3525,341.74689,Station 9,28.0,27.62,35.790001,0.0,0.877439,28.200000000000006,0.0,23.104806879413218
17.3525,341.74689,Station 9,28.9,27.97,35.799999,0.03,,29.1,,22.997911512328074
17.3525,341.74689,Station 9,29.2,28.03,35.810001,0.0,,29.4,,22.98561459740972
17.3525,341.74689,Station 9,30.2,27.83,35.73,0.0,,30.4,,22.992022973242683
17.3525,341.74689,Station 9,49.0,19.88,36.029999,5.51,0.241951,49.299999999999976,22773.206145045897,25.572616184167373
17.3525,341.74689,Station 9,52.0,,,,,52.3,,
17.3525,341.74689,Station 9,52.1,18.97,36.09,15.12,,52.4,,25.855516879802735
17.3525,341.74689,Station 9,52.5,20.4,36.18,7.23,,52.8,,25.54684491368107
17.3525,341.74689,Station 9,54.6,19.45,36.029999,10.58,,54.9,,25.685765479959855
17.3525,341.74689,Station 9,55.6,19.4,36.049999,7.01,,55.9,,25.713935119373218
17.3525,341.74689,Station 9,85.0,,,,,85.5,,
17.3525,341.74689,Station 9,87.4,15.63,35.720001,24.549999,,87.9,,26.38393104059628
17.3525,341.74689,Station 9,88.5,15.75,35.740002,22.540001,,89.0,,26.371897901398142
17.3525,341.74689,Station 9,89.0,15.62,35.740002,23.285001,1.387439,89.6,16782.720537623634,26.401492000286453
17.3525,341.74689,Station 9,91.2,15.52,35.790001,24.379999,,91.8,,26.462370106750313
17.3525,341.74689,Station 9,106.4,14.77,35.68,24.780001,,107.1,,26.545328829928394
17.3525,341.74689,Station 9,109.4,14.99,35.709999,23.5249995,1.2807315,110.1,18368.40860086599,26.519874737016153
17.3525,341.74689,Station 9,112.3,14.92,35.66,24.85,,113.0,,26.4970761287434
17.3525,341.74689,Station 9,135.0,,,,,135.9,,
17.3525,341.74689,Station 9,135.2,14.06,35.57,24.409999499999998,1.410366,136.1,17307.563781316338,26.61426523127716
17.3525,341.74689,Station 9,136.6,14.4,35.610001,25.030001,,137.5,,26.572232334759974
17.3525,341.74689,Station 9,137.7,14.11,35.580002,23.57,,138.6,,26.611325801815156
17.3525,341.74689,Station 9,150.3,13.71,35.529999,25.92,,151.3,,26.657305175646343
17.3525,341.74689,Station 9,161.0,13.73,35.529999,25.879999,,162.0,,26.65315927986694
17.3525,341.74689,Station 9,184.8,13.3,35.5,25.8900005,1.510488,186.0,17140.156360063767,26.71916991886451
17.3525,341.74689,Station 9,185.0,,,,,186.2,,
17.3525,341.74689,Station 9,185.9,13.3,35.490002,26.469999,,187.1,,26.711480270827906
17.3525,341.74689,Station 9,186.3,13.42,35.5,26.51,,187.5,,26.694513481580998
17.3525,341.74689,Station 9,187.3,13.39,35.509998,25.059999,,188.5,,26.708383057673927
17.3525,341.74689,Station 9,220.8,12.9,35.470001,26.740000000000002,1.6165855,222.2,16541.03664792243,26.777346893773256
17.3525,341.74689,Station 9,235.0,,,,,236.5,,
17.3525,341.74689,Station 9,235.7,12.65,35.439999,28.08,,237.2,,26.804209277995596
17.3525,341.74689,Station 9,236.3,12.82,35.490002,26.32,,237.9,,26.808844531589102
17.3525,341.74689,Station 9,249.3,12.66,35.48,28.4,,250.9,,26.833090243426795
17.3525,341.74689,Station 9,285.2,12.24,35.419998,28.8949995,1.6904880000000002,287.1,17092.697197495632,26.869489336185325
17.3525,341.74689,Station 9,348.4,11.46,35.349998,31.67,,350.8,,26.964285189241537
17.3525,341.74689,Station 9,361.1,11.33,35.330002,31.54,1.4737135000000001,363.6,21401.717498007583,26.97303574516559
17.3525,341.74689,Station 9,388.6,11.03,35.310001,32.23,,391.3,,27.012793955343568
17.3525,341.74689,Station 9,389.3,11.02,35.299999,31.5,,392.0,,27.00686754196545
17.3525,341.74689,Station 9,389.4,11.02,35.299999,31.57,,392.1,,27.006867861621913
